wav_filename,wav_filesize,transcript
common_voice_tr_17343923.wav,98348,seydiu şimdi iki mevkiyi de kaybetti
common_voice_tr_17354593.wav,198188,broz büyükbabasının başarılarını gururla anıyor
common_voice_tr_19942053.wav,142892,siyasette temiz insanlara ihtiyacımız var
common_voice_tr_19942151.wav,145196,calasan yetenekli çocuk bursu da aldı
common_voice_tr_18880422.wav,178220,atık yönetimi bir ülkenin yaşam tarzını yansıtır
common_voice_tr_17360354.wav,172844,hükümetin değişmesi halinde müzakereler ve katılım süreci ne yönde etkilenir
common_voice_tr_18369567.wav,138284,her yaştan takasçı geliyor
common_voice_tr_17527931.wav,117548,bunun değişmesini beklemiyorum
common_voice_tr_18275502.wav,190508,kasedin etkisi büyük oldu
common_voice_tr_18177773.wav,138284,etkinlik yirmi iki mayıs'a kadar açık kalacak
common_voice_tr_19821495.wav,122924,referandum tarihi henüz belirlenmedi
common_voice_tr_18507612.wav,159020,bir sonraki ay bir anayasa kabul edildi
common_voice_tr_17862344.wav,180524,yaşanan gelişmeler pek çok kimseyi şaşırtıyor
common_voice_tr_18312517.wav,135980,dört yıl sonra dava gün ışığına çıktı
common_voice_tr_19285259.wav,207404,aralarında pek çok mülteci var
common_voice_tr_17527464.wav,211244,bağış önerileri açık rekabetle seçiliyor
common_voice_tr_19565041.wav,107564,barış müzakereleri hiçbir zaman kolay olmaz
common_voice_tr_20557646.wav,160556,saldırının sorumluluğunu henüz üstlenen olmadı
common_voice_tr_19018457.wav,109868,erdoğan eleştirileri reddetti
common_voice_tr_18407439.wav,178988,proje mart ayında başlatıldı
common_voice_tr_17826129.wav,148268,biz realiteyi dikkate alıyoruz
common_voice_tr_17960725.wav,96044,projeler altı bilimsel alanı kapsıyorlar
common_voice_tr_18373810.wav,163628,anlaşma bir ocak'ta yürürlüğe girecek
common_voice_tr_18395538.wav,101420,on milletvekili çekimser kaldı
common_voice_tr_17409471.wav,155948,ve bir yıl sonra bu ay bu iki kitap basıldı
common_voice_tr_17409473.wav,145964,ortak bölgesel çıkarlarımız da bunu gerektiriyor
common_voice_tr_22477340.wav,90668,hayır
common_voice_tr_18395540.wav,117548,bundan cumhurbaşkanı bile etkilendi
common_voice_tr_22477339.wav,76844,dokuz
common_voice_tr_17384930.wav,124460,ab projesi en az iki açıdan değerlendirilebilir
common_voice_tr_17414891.wav,125228,portekiz salı günü bunu yapan kırk sekizinci ülke oldu
